tag,n,sum,mean,ci_lo,ci_hi,wins
all ④ short real-fill,18,-93.0,-5.166666666666667,-35.888888888888886,25.444444444444443,11
④ short ATR>58 (all sess),7,-33.0,-4.714285714285714,-76.0,70.14285714285714,4
④ short ATR>58 NIGHT (the skip target),1,-96.0,-96.0,-96.0,-96.0,0
④ short ATR>58 DAY (kept by refinement),6,63.0,10.5,-75.66666666666667,85.0,4
④ short ATR<=58,11,-60.0,-5.454545454545454,-25.90909090909091,12.0,7
③ short real-fill,17,-304.0,-17.88235294117647,-45.64705882352941,9.176470588235293,7
④ short real-fill,18,-93.0,-5.166666666666667,-35.888888888888886,25.444444444444443,11
③+④ short combined,35,-397.0,-11.342857142857143,-31.37142857142857,9.314285714285715,18
⑧ long real-fill (edge contrast),51,1206.0,23.647058823529413,8.137254901960784,39.09803921568628,36
pyramid-proxy add-on units (2nd+ same grp),71,538.0,7.577464788732394,-4.408450704225352,19.225352112676056,44
first-of-group units (contrast),46,57.0,1.2391304347826086,-20.02173913043478,21.47826086956522,28
